1-16-1	13-16-1
1-29-75	13-29-75
1-29-76	1-68-66
1-29-76	13-29-76
1-29-76	7-29-76
1-29-77	61-29-77
1-29-79	25-29-79
1-29-79	31-29-79
1-29-79	7-29-79
1-29-8	13-29-8
1-29-8	19-29-8
1-29-82	13-29-82
1-29-83	19-29-83
1-29-84	7-29-84
1-29-85	13-29-85
1-29-85	19-29-85
1-29-86	13-29-86
1-29-86	7-29-86
1-29-87	13-29-87
1-29-87	7-29-87
1-29-88	13-29-88
1-29-88	19-29-88
1-29-88	7-29-88
1-29-9	13-29-9
1-29-91	13-29-91
1-29-94	13-29-94
1-30-1	13-30-1
1-30-11	13-30-11
1-30-11	43-30-11
1-30-13	13-30-13
1-30-14	13-30-14
1-30-18	13-30-18
1-30-19	19-30-19
1-30-20	13-30-20
1-30-23	13-30-23
1-30-25	13-30-25
1-30-26	13-30-26
1-30-27	13-30-27
1-30-28	13-30-28
1-30-29	13-30-29
1-30-29	37-30-29
1-30-30	13-30-30
1-30-32	13-30-32
1-30-35	13-30-35
1-30-36	13-30-36
1-30-38	13-30-38
1-30-39	13-30-39
1-30-39	25-30-39
1-30-39	31-30-39
1-30-43	13-30-43
1-30-43	19-30-43
1-30-44	13-30-44
1-30-44	25-30-44
1-30-45	13-30-45
1-30-47	19-30-47
1-30-48	13-30-48
1-30-50	13-30-50
1-30-51	13-30-51
1-30-52	13-30-52
1-30-53	13-30-53
1-30-54	13-30-54
1-30-55	7-30-55
1-30-6	13-30-6
1-30-60	13-30-60
1-30-60	7-30-60
1-30-62	13-30-62
1-30-62	7-30-62
1-30-64	13-30-64
1-30-65	1-82-56
1-30-65	25-30-65
1-30-65	7-30-65
1-30-65	7-82-56
1-30-66	13-30-66
1-30-69	13-30-69
1-30-74	13-30-74
1-30-75	19-30-75
1-30-76	7-30-76
1-30-78	13-30-78
1-30-80	13-30-80
1-30-80	7-30-80
1-30-81	13-30-81
1-30-83	13-30-83
1-30-87	25-30-87
1-30-87	7-30-87
1-30-90	13-30-90
1-30-92	7-30-92
1-30-93	19-30-93
1-30-93	25-30-93
1-30-94	13-30-94
1-30-94	19-30-94
1-30-94	43-30-94
1-30-94	7-30-94
1-31-10	13-31-10
1-31-11	7-31-11
1-31-13	7-31-13
1-31-14	7-31-14
1-31-17	13-31-17
1-31-17	7-31-17
1-31-18	13-31-18
1-31-19	7-31-19
1-31-22	7-31-22
1-31-24	7-31-24
1-31-25	7-31-25
1-31-26	13-31-26
1-31-26	7-31-26
1-31-27	7-31-27
1-31-28	7-31-28
1-31-3	13-31-3
1-31-30	7-31-30
1-31-31	13-31-31
1-31-31	19-31-31
1-31-31	7-31-31
1-31-33	13-31-33
1-31-33	25-31-33
1-31-33	7-31-33
1-31-34	7-31-34
1-31-36	7-31-36
1-31-37	7-31-37
1-31-39	7-31-39
1-31-4	13-31-4
1-31-4	19-31-4
1-31-4	31-31-4
1-31-40	7-31-40
1-31-41	13-31-41
1-31-42	43-31-42
1-31-42	7-31-42
1-31-43	13-31-43
1-31-43	43-31-43
1-31-43	7-31-43
1-31-45	7-31-45
1-31-46	13-31-46
1-31-46	7-31-46
1-31-48	7-31-48
1-31-49	43-31-49
1-31-50	13-31-50
1-31-51	7-31-51
1-31-52	13-31-52
1-31-52	7-31-52
1-31-53	19-31-53
1-31-53	7-31-53
1-31-54	7-31-54
1-31-56	19-31-56
1-31-56	7-31-56
1-31-57	7-31-57
1-31-58	13-31-58
1-31-59	19-31-59
1-31-59	7-31-59
1-31-6	13-31-6
1-31-60	7-31-60
1-31-66	13-31-66
1-31-69	13-31-69
1-31-7	13-31-7
1-31-71	13-31-71
1-31-72	13-31-72
1-31-76	13-31-76
1-31-77	13-31-77
1-31-77	37-31-77
1-31-78	13-31-78
1-31-78	7-31-78
1-31-79	13-31-79
1-31-79	7-31-79
1-31-8	7-31-8
1-31-84	43-31-84
1-31-85	13-31-85
1-31-86	13-31-86
1-31-9	7-31-9
1-32-13	13-32-13
1-32-17	13-32-17
1-32-2	25-32-2
1-32-20	13-32-20
